source airport,destination airport,aircraft type,distance (weighted in km),number of passengers for 2% market share (flight demand), fuel (gallons)
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Boeing 747-400,932.7187338905179,9,2634.9475503997905
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Boeing 737-600,657.5165533799787,13,742.9985348098522
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Boeing 767-800,657.5165533799787,13,908.1093203231528
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Airbus A200-100,657.5165533799787,13,681.0819902423647
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Airbus A220-300,657.5165533799787,13,619.1654456748768
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Boeing 747-400,657.5165533799787,13,1857.4963370246305
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Boeing 737-600,1299.3328984068314,10,1468.255718861892
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Boeing 767-800,1299.3328984068314,10,1794.5347674978682
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Airbus A200-100,1299.3328984068314,10,1345.9010756234013
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Airbus A220-300,1299.3328984068314,10,1223.54643238491
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Boeing 747-400,1299.3328984068314,10,3670.6392971547302
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Boeing 737-600,863.8368640669387,9,976.1420013186492
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Boeing 767-800,863.8368640669387,9,1193.0624460561269
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Airbus A200-100,863.8368640669387,9,894.7968345420952
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Airbus A220-300,863.8368640669387,9,813.451667765541
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Boeing 747-400,863.8368640669387,9,2440.355003296623
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Boeing 737-600,344.2567295396375,9,389.0126329619046
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Boeing 767-800,344.2567295396375,9,475.4598847312168
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Airbus A200-100,344.2567295396375,9,356.5949135484126
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Airbus A220-300,344.2567295396375,9,324.17719413492046
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Boeing 747-400,344.2567295396375,9,972.5315824047615
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,7287.3518843930515,55,-1
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,7287.3518843930515,55,-1
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,7287.3518843930515,55,-1
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,7287.3518843930515,55,-1
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Boeing 747-400,7287.3518843930515,55,20586.902888279143
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,1182.5763575356925,32,1336.3199700951382
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 767-800,1182.5763575356925,32,1633.2799634496134
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,1182.5763575356925,32,1224.9599725872101
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A220-300,1182.5763575356925,32,1113.5999750792816
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 747-400,1182.5763575356925,32,3340.7999252378454
Dallas/Fort Worth International Airport,Denver International Airport,Boeing 737-600,1028.1176084663805,16,1161.7804491399293
Dallas/Fort Worth International Airport,Denver International Airport,Boeing 767-800,1028.1176084663805,16,1419.953882282136
Dallas/Fort Worth International Airport,Denver International Airport,Airbus A200-100,1028.1176084663805,16,1064.965411711602
Dallas/Fort Worth International Airport,Denver International Airport,Airbus A220-300,1028.1176084663805,16,968.1503742832743
