Origin Airport,Destination Airport,Weighted Distance
Miami International Airport,Tampa International Airport,329.5293000399173
Miami International Airport,Austin-Bergstrom International Airport,1761.5422456333047
Miami International Airport,Washington Dulles International Airport,1498.1998364691124
Miami International Airport,Nashville International Airport,1293.5710105062014
Miami International Airport,Paris Charles de Gaulle Airport,7623.157902813339
Charlotte Douglas International Airport,Hartsfield-Jackson Atlanta International Airport,364.07222496321737
Charlotte Douglas International Airport,Dallas/Fort Worth International Airport,1494.8656137723624
Charlotte Douglas International Airport,Denver International Airport,2129.5619929853115
Charlotte Douglas International Airport,O'Hare International Airport,961.4874794241326
Charlotte Douglas International Airport,Los Angeles International Airport,3363.494829306384
Charlotte Douglas International Airport,John F. Kennedy International Airport,875.5515945431964
Charlotte Douglas International Airport,Harry Reid International Airport,3036.54425028658
Charlotte Douglas International Airport,Orlando International Airport,754.0397854247005
Charlotte Douglas International Airport,Miami International Airport,1055.4702090769206
Charlotte Douglas International Airport,Seattle-Tacoma International Airport,3603.717188574698
Charlotte Douglas International Airport,Phoenix Sky Harbor International Airport,2814.353475435883
Charlotte Douglas International Airport,Newark Liberty International Airport,854.7768650250047
Charlotte Douglas International Airport,San Francisco International Airport,3629.8154636653085
Charlotte Douglas International Airport,George Bush Intercontinental Airport,1457.9702340766682
Charlotte Douglas International Airport,Logan International Airport,1178.2885808321491
Charlotte Douglas International Airport,Fort Lauderdale-Hollywood International Airport,1025.01868860426
Charlotte Douglas International Airport,Minneapolis-Saint Paul International Airport,1487.016333887357
Charlotte Douglas International Airport,LaGuardia Airport,879.5683379130785
Charlotte Douglas International Airport,Detroit Metropolitan Airport,803.5706067903895
Charlotte Douglas International Airport,Philadelphia International Airport,724.8770665195759
Charlotte Douglas International Airport,Salt Lake City International Airport,2742.1826517702457
Charlotte Douglas International Airport,Ronald Reagan Washington National Airport,534.5872163368404
Charlotte Douglas International Airport,San Diego International Airport,3289.4046960194587
Charlotte Douglas International Airport,Baltimore/Washington International Airport,583.3479741771591
Charlotte Douglas International Airport,Tampa International Airport,816.4489811847021
Charlotte Douglas International Airport,Austin-Bergstrom International Airport,1647.7042507264232
Charlotte Douglas International Airport,Washington Dulles International Airport,519.9645016832078
Charlotte Douglas International Airport,Nashville International Airport,526.6059129846142
Charlotte Douglas International Airport,Paris Charles de Gaulle Airport,6910.626773255556
Seattle-Tacoma International Airport,Hartsfield-Jackson Atlanta International Airport,3564.1026128321414
Seattle-Tacoma International Airport,Dallas/Fort Worth International Airport,2702.9680273574295
Seattle-Tacoma International Airport,Denver International Airport,1659.1827623868949
Seattle-Tacoma International Airport,O'Hare International Airport,2798.7521833282563
Seattle-Tacoma International Airport,Los Angeles International Airport,1549.0288810443096
Seattle-Tacoma International Airport,John F. Kennedy International Airport,3958.6559812277956
Seattle-Tacoma International Airport,Harry Reid International Airport,1405.1789862039434
Seattle-Tacoma International Airport,Orlando International Airport,4185.333167369918
Seattle-Tacoma International Airport,Miami International Airport,4471.323087785528
Seattle-Tacoma International Airport,Charlotte Douglas International Airport,3724.3161208533907
Seattle-Tacoma International Airport,Phoenix Sky Harbor International Airport,1798.016542211683
Seattle-Tacoma International Airport,Newark Liberty International Airport,3925.128571824101
Seattle-Tacoma International Airport,San Francisco International Airport,1088.7241507319852
Seattle-Tacoma International Airport,George Bush Intercontinental Airport,3056.8537985854186
Seattle-Tacoma International Airport,Logan International Airport,4081.7957743559336
Seattle-Tacoma International Airport,Fort Lauderdale-Hollywood International Airport,4458.353491993291
Seattle-Tacoma International Airport,Minneapolis-Saint Paul International Airport,2270.5482022396427
Seattle-Tacoma International Airport,LaGuardia Airport,3944.2795540690076
Seattle-Tacoma International Airport,Detroit Metropolitan Airport,3139.546949719022
Seattle-Tacoma International Airport,Philadelphia International Airport,3887.2539887471025
Seattle-Tacoma International Airport,Salt Lake City International Airport,1113.041529971466
Seattle-Tacoma International Airport,Ronald Reagan Washington National Airport,3805.0612867141235
Seattle-Tacoma International Airport,San Diego International Airport,1706.9601182878323
Seattle-Tacoma International Airport,Baltimore/Washington International Airport,3815.424814332679
Seattle-Tacoma International Airport,Tampa International Airport,4129.439810262783
Seattle-Tacoma International Airport,Austin-Bergstrom International Airport,2887.128989319135
Seattle-Tacoma International Airport,Washington Dulles International Airport,3766.766257341457
Seattle-Tacoma International Airport,Nashville International Airport,3225.297405516993
Seattle-Tacoma International Airport,Paris Charles de Gaulle Airport,8348.330855340168
Phoenix Sky Harbor International Airport,Hartsfield-Jackson Atlanta International Airport,2580.8832666920366
Phoenix Sky Harbor International Airport,Dallas/Fort Worth International Airport,1403.4438328788642
Phoenix Sky Harbor International Airport,Denver International Airport,972.979376477327
Phoenix Sky Harbor International Airport,O'Hare International Airport,2339.614812344196
Phoenix Sky Harbor International Airport,Los Angeles International Airport,593.7060689852996
Phoenix Sky Harbor International Airport,John F. Kennedy International Airport,3515.557856954383
Phoenix Sky Harbor International Airport,Harry Reid International Airport,410.5851922150856
Phoenix Sky Harbor International Airport,Orlando International Airport,3012.559591932796
Phoenix Sky Harbor International Airport,Miami International Airport,3217.7971742526524
Phoenix Sky Harbor International Airport,Charlotte Douglas International Airport,2887.363053206674
Phoenix Sky Harbor International Airport,Seattle-Tacoma International Airport,1769.4350583105156
Phoenix Sky Harbor International Airport,Newark Liberty International Airport,3481.1754293764125
Phoenix Sky Harbor International Airport,San Francisco International Airport,1042.8282718375926
Phoenix Sky Harbor International Airport,George Bush Intercontinental Airport,1634.1325042129174
Phoenix Sky Harbor International Airport,Logan International Airport,3758.7425288623826
Phoenix Sky Harbor International Airport,Fort Lauderdale-Hollywood International Airport,3217.6290156450686
Phoenix Sky Harbor International Airport,Minneapolis-Saint Paul International Airport,2073.5206623633735
Phoenix Sky Harbor International Airport,LaGuardia Airport,3507.6580195848737
Phoenix Sky Harbor International Airport,Detroit Metropolitan Airport,2719.300843771726
Phoenix Sky Harbor International Airport,Philadelphia International Airport,3386.129213786589
Phoenix Sky Harbor International Airport,Salt Lake City International Airport,821.4504492016295
Phoenix Sky Harbor International Airport,Ronald Reagan Washington National Airport,3226.3031522060933
Phoenix Sky Harbor International Airport,San Diego International Airport,489.1746322810757
Phoenix Sky Harbor International Airport,Baltimore/Washington International Airport,3259.498676212748
Phoenix Sky Harbor International Airport,Tampa International Airport,2913.1798944071998
Phoenix Sky Harbor International Airport,Austin-Bergstrom International Airport,1411.4215407179856
Phoenix Sky Harbor International Airport,Washington Dulles International Airport,3189.071122178751
Phoenix Sky Harbor International Airport,Nashville International Airport,2353.103295968796
Phoenix Sky Harbor International Airport,Paris Charles de Gaulle Airport,9157.244320410002
Newark Liberty International Airport,Hartsfield-Jackson Atlanta International Airport,1194.185666175068
Newark Liberty International Airport,Dallas/Fort Worth International Airport,2185.6255181869838
Newark Liberty International Airport,Denver International Airport,2549.129004896803
Newark Liberty International Airport,O'Hare International Airport,1149.3604387652485
Newark Liberty International Airport,Los Angeles International Airport,3874.8959885584677
Newark Liberty International Airport,John F. Kennedy International Airport,-1
Newark Liberty International Airport,Harry Reid International Airport,3521.350096923319
Newark Liberty International Airport,Orlando International Airport,1503.0912942203383
Newark Liberty International Airport,Miami International Airport,1738.5940680983665
Newark Liberty International Airport,Charlotte Douglas International Airport,848.2633056338929
Newark Liberty International Airport,Seattle-Tacoma International Airport,3791.40347481901
Newark Liberty International Airport,Phoenix Sky Harbor International Airport,3375.5892481209503
Newark Liberty International Airport,San Francisco International Airport,4046.3044242625665
Newark Liberty International Airport,George Bush Intercontinental Airport,2229.4023475809445
Newark Liberty International Airport,Logan International Airport,323.0519319187001
Newark Liberty International Airport,Fort Lauderdale-Hollywood International Airport,1705.6097756188901
Newark Liberty International Airport,Minneapolis-Saint Paul International Airport,1607.3224574986052
Newark Liberty International Airport,LaGuardia Airport,-1
Newark Liberty International Airport,Detroit Metropolitan Airport,780.7601175105733
Newark Liberty International Airport,Philadelphia International Airport,-1
Newark Liberty International Airport,Salt Lake City International Airport,3118.7058525226594
Newark Liberty International Airport,Ronald Reagan Washington National Airport,319.363152122805
Newark Liberty International Airport,San Diego International Airport,3831.3575422277427
Newark Liberty International Airport,Baltimore/Washington International Airport,271.4854277094405
Newark Liberty International Airport,Tampa International Airport,1597.3621612951802
Newark Liberty International Airport,Austin-Bergstrom International Airport,2392.668066924099
Newark Liberty International Airport,Washington Dulles International Airport,340.77910255263845
Newark Liberty International Airport,Nashville International Airport,1195.490864620577
Newark Liberty International Airport,Paris Charles de Gaulle Airport,6017.158504873929
San Francisco International Airport,Hartsfield-Jackson Atlanta International Airport,3492.019261719576
San Francisco International Airport,Dallas/Fort Worth International Airport,2379.498581518061
San Francisco International Airport,Denver International Airport,1565.4281835454506
San Francisco International Airport,O'Hare International Airport,3006.8505516083133
San Francisco International Airport,Los Angeles International Airport,545.3344071130042
San Francisco International Airport,John F. Kennedy International Airport,4234.241054465924
San Francisco International Airport,Harry Reid International Airport,668.312596938767
San Francisco International Airport,Orlando International Airport,4003.5973570957567
San Francisco International Airport,Miami International Airport,4237.3842027438195
San Francisco International Airport,Charlotte Douglas International Airport,3752.1976530634997
San Francisco International Airport,Seattle-Tacoma International Airport,1099.477488098799
San Francisco International Airport,Phoenix Sky Harbor International Airport,1052.6899649335642
San Francisco International Airport,Newark Liberty International Airport,4198.983763798312
San Francisco International Airport,George Bush Intercontinental Airport,2661.2136217228262
San Francisco International Airport,Logan International Airport,4430.906787023631
San Francisco International Airport,Fort Lauderdale-Hollywood International Airport,4233.604609465739
San Francisco International Airport,Minneapolis-Saint Paul International Airport,2584.6343005795543
San Francisco International Airport,LaGuardia Airport,4223.111260030576
San Francisco International Airport,Detroit Metropolitan Airport,3391.6720574146916
San Francisco International Airport,Philadelphia International Airport,4126.1828864189465
San Francisco International Airport,Salt Lake City International Airport,966.8801432779416
San Francisco International Airport,Ronald Reagan Washington National Airport,3994.7512137465083
San Francisco International Airport,San Diego International Airport,722.0032822129587
San Francisco International Airport,Baltimore/Washington International Airport,4019.147982915478
San Francisco International Airport,Tampa International Airport,3915.309347053597
San Francisco International Airport,Austin-Bergstrom International Airport,2445.69848222469
San Francisco International Airport,Washington Dulles International Airport,3955.6042713324755
San Francisco International Airport,Nashville International Airport,3209.5155553811046
San Francisco International Airport,Paris Charles de Gaulle Airport,9332.573795977012
George Bush Intercontinental Airport,Hartsfield-Jackson Atlanta International Airport,1113.8122115206945
George Bush Intercontinental Airport,Dallas/Fort Worth International Airport,360.50659535497465
George Bush Intercontinental Airport,Denver International Airport,1379.305133414755
George Bush Intercontinental Airport,O'Hare International Airport,1501.4390561237205
George Bush Intercontinental Airport,Los Angeles International Airport,2195.2790842281274
George Bush Intercontinental Airport,John F. Kennedy International Airport,2303.39269854301
George Bush Intercontinental Airport,Harry Reid International Airport,1946.9803076428027
