Origin Airport,Destination Airport,Flight Time (Minutes)
Orlando International Airport,San Francisco International Airport,368.6269734264341
Orlando International Airport,George Bush Intercontinental Airport,168.7101993140563
Orlando International Airport,Logan International Airport,204.16312680281123
Orlando International Airport,Fort Lauderdale-Hollywood International Airport,72.27854727769738
Orlando International Airport,Minneapolis-Saint Paul International Airport,225.05316186317052
Orlando International Airport,LaGuardia Airport,182.53432761384965
Orlando International Airport,Detroit Metropolitan Airport,181.87938640941547
Orlando International Airport,Philadelphia International Airport,171.36411850114837
Orlando International Airport,Salt Lake City International Airport,306.6729410854452
Orlando International Airport,Ronald Reagan Washington National Airport,158.4587524036776
Orlando International Airport,San Diego International Airport,332.87586524239975
Orlando International Airport,Baltimore/Washington International Airport,162.00493390792423
Orlando International Airport,Tampa International Airport,50.05816184739671
Orlando International Airport,Austin-Bergstrom International Airport,185.88349462747442
Orlando International Airport,Washington Dulles International Airport,158.36580639794454
Orlando International Airport,Nashville International Airport,139.6825696111788
Orlando International Airport,Paris Charles de Gaulle Airport,648.6713902146054
Miami International Airport,Hartsfield-Jackson Atlanta International Airport,139.06609553749468
Miami International Airport,Dallas/Fort Worth International Airport,203.6606910152064
Miami International Airport,Denver International Airport,281.91547066536145
Miami International Airport,O'Hare International Airport,213.65193173093076
Miami International Airport,Los Angeles International Airport,356.20842141076037
Miami International Airport,John F. Kennedy International Airport,200.27564601342942
Miami International Airport,Harry Reid International Airport,336.05097690586337
Miami International Airport,Orlando International Airport,74.09835430704078
Miami International Airport,Charlotte Douglas International Airport,143.97863345488702
Miami International Airport,Seattle-Tacoma International Airport,402.2207083925552
Miami International Airport,Phoenix Sky Harbor International Airport,311.5692139383797
Miami International Airport,Newark Liberty International Airport,199.75444332544552
Miami International Airport,San Francisco International Airport,385.4524446880951
Miami International Airport,George Bush Intercontinental Airport,182.36589566261108
Miami International Airport,Logan International Airport,221.59847288646858
Miami International Airport,Fort Lauderdale-Hollywood International Airport,50.05816184739671
Miami International Airport,Minneapolis-Saint Paul International Airport,248.39720116488763
Miami International Airport,LaGuardia Airport,201.11958879423125
Miami International Airport,Detroit Metropolitan Airport,204.98946799461595
Miami International Airport,Philadelphia International Airport,190.58059288440333
Miami International Airport,Salt Lake City International Airport,325.8369156474184
Miami International Airport,Ronald Reagan Washington National Airport,178.73519720556885
Miami International Airport,San Diego International Airport,347.2725638041622
Miami International Airport,Baltimore/Washington International Airport,182.08853440275197
Miami International Airport,Tampa International Airport,82.09974439645703
Miami International Airport,Austin-Bergstrom International Airport,199.39547907813886
Miami International Airport,Washington Dulles International Airport,179.01293966914562
Miami International Airport,Nashville International Airport,163.17479524477173
Miami International Airport,Paris Charles de Gaulle Airport,659.5397208485704
Charlotte Douglas International Airport,Hartsfield-Jackson Atlanta International Airport,86.77334539671246
Charlotte Douglas International Airport,Dallas/Fort Worth International Airport,180.75487289695135
Charlotte Douglas International Airport,Denver International Airport,229.87997964717965
Charlotte Douglas International Airport,O'Hare International Airport,139.78098656349707
Charlotte Douglas International Airport,Los Angeles International Airport,329.8444365214067
Charlotte Douglas International Airport,John F. Kennedy International Airport,130.82035128478682
Charlotte Douglas International Airport,Harry Reid International Airport,304.53866415145285
Charlotte Douglas International Airport,Orlando International Airport,121.41541249852553
Charlotte Douglas International Airport,Miami International Airport,144.74594064498217
Charlotte Douglas International Airport,Seattle-Tacoma International Airport,348.43749838427937
Charlotte Douglas International Airport,Phoenix Sky Harbor International Airport,287.34123575743604
Charlotte Douglas International Airport,Newark Liberty International Airport,129.2124000836884
Charlotte Douglas International Airport,San Francisco International Airport,350.4574887163699
Charlotte Douglas International Airport,George Bush Intercontinental Airport,175.89919335394097
Charlotte Douglas International Airport,Logan International Airport,154.25200657030948
Charlotte Douglas International Airport,Fort Lauderdale-Hollywood International Airport,142.3890118158289
Charlotte Douglas International Airport,Minneapolis-Saint Paul International Airport,178.14734349408718
Charlotte Douglas International Airport,LaGuardia Airport,131.13124473446808
Charlotte Douglas International Airport,Detroit Metropolitan Airport,125.24906740299062
Charlotte Douglas International Airport,Philadelphia International Airport,119.15823611267996
Charlotte Douglas International Airport,Salt Lake City International Airport,281.75525869353226
Charlotte Douglas International Airport,Ronald Reagan Washington National Airport,97.97110014699287
Charlotte Douglas International Airport,San Diego International Airport,324.10990608124223
Charlotte Douglas International Airport,Baltimore/Washington International Airport,108.20397199948981
Charlotte Douglas International Airport,Tampa International Airport,126.24584560688479
Charlotte Douglas International Airport,Austin-Bergstrom International Airport,190.58448876026875
Charlotte Douglas International Airport,Washington Dulles International Airport,96.8393110871142
Charlotte Douglas International Airport,Nashville International Airport,97.35335220951407
Charlotte Douglas International Airport,Paris Charles de Gaulle Airport,604.3902526165438
Seattle-Tacoma International Airport,Hartsfield-Jackson Atlanta International Airport,347.37135475095454
Seattle-Tacoma International Airport,Dallas/Fort Worth International Airport,280.72007104548146
Seattle-Tacoma International Airport,Denver International Airport,193.4729184553517
Seattle-Tacoma International Airport,O'Hare International Airport,288.4429564085485
Seattle-Tacoma International Airport,Los Angeles International Airport,182.9470762461733
Seattle-Tacoma International Airport,John F. Kennedy International Airport,375.9095411592869
Seattle-Tacoma International Airport,Harry Reid International Airport,171.81318345667125
Seattle-Tacoma International Airport,Orlando International Airport,393.4542150092963
Seattle-Tacoma International Airport,Miami International Airport,415.5896577659224
Seattle-Tacoma International Airport,Charlotte Douglas International Airport,357.77178106838863
Seattle-Tacoma International Airport,Phoenix Sky Harbor International Airport,202.21856704860156
Seattle-Tacoma International Airport,Newark Liberty International Airport,373.31454043144674
Seattle-Tacoma International Airport,San Francisco International Airport,147.31977513840826
Seattle-Tacoma International Airport,George Bush Intercontinental Airport,306.1106106142113
Seattle-Tacoma International Airport,Logan International Airport,385.4404848998549
Seattle-Tacoma International Airport,Fort Lauderdale-Hollywood International Airport,414.5858190823128
