source airport, destination airport, distance (weighted km), number of passengers, aircraft type, expected time, ticket cost, net profit
Miami International Airport,Ronald Reagan Washington National Airport,1494.6114038397002,4,Airbus A200-100,175.12339317161673,347.78876544893103,-12694.289938885984
Miami International Airport,Ronald Reagan Washington National Airport,1494.6114038397002,4,Airbus A220-300,175.12339317161673,264.79493845923525,-11650.977292206351
Miami International Airport,San Diego International Airport,3588.666233799585,7,Boeing 737-600,318.244874303927,815.0261498437752,-23391.250500516344
Miami International Airport,San Diego International Airport,3588.666233799585,7,Boeing 767-800,318.244874303927,623.819081777398,-31003.808364336677
Miami International Airport,San Diego International Airport,3588.666233799585,7,Airbus A200-100,336.9090810915218,696.68782552231,-23339.042154997383
Miami International Airport,San Diego International Airport,3588.666233799585,7,Airbus A220-300,336.9090810915218,519.0353046774786,-21280.447491776624
Miami International Airport,Baltimore/Washington International Airport,1537.936520427306,4,Boeing 737-600,171.7094878419731,413.3101329766823,-13101.931215360828
Miami International Airport,Baltimore/Washington International Airport,1537.936520427306,4,Boeing 767-800,171.7094878419731,307.65369813200084,-16213.349891556443
Miami International Airport,Baltimore/Washington International Airport,1537.936520427306,4,Airbus A200-100,178.33424667366262,355.00734074061756,-12957.767937032542
Miami International Airport,Baltimore/Washington International Airport,1537.936520427306,4,Airbus A220-300,178.33424667366262,270.05506505672844,-11882.42286249605
Miami International Airport,Tampa International Airport,329.5293000399173,7,Boeing 737-600,82.55301779588363,176.59608325962267,-5068.30758955117
Miami International Airport,Tampa International Airport,329.5293000399173,7,Boeing 767-800,82.55301779588363,121.35097381764834,-6031.143398737122
Miami International Airport,Tampa International Airport,329.5293000399173,7,Airbus A200-100,82.18449819835948,153.66965972721206,-5147.933600861604
Miami International Airport,Tampa International Airport,329.5293000399173,7,Airbus A220-300,82.18449819835948,123.34166965917585,-5057.008456026209
Miami International Airport,Austin-Bergstrom International Airport,1761.5422456333047,5,Boeing 737-600,186.9414854718095,457.1121029255738,-14033.341559815115
Miami International Airport,Austin-Bergstrom International Airport,1761.5422456333047,5,Boeing 767-800,186.9414854718095,342.1274707769618,-17687.99023916892
Miami International Airport,Austin-Bergstrom International Airport,1761.5422456333047,5,Airbus A200-100,194.90581721758542,392.2632073183297,-13925.343859800705
Miami International Airport,Austin-Bergstrom International Airport,1761.5422456333047,5,Airbus A220-300,194.90581721758542,297.2031610146351,-12779.73592362931
Miami International Airport,Washington Dulles International Airport,1498.1998364691124,4,Boeing 737-600,169.00262926171467,405.52614160078207,-12855.17868874479
Miami International Airport,Washington Dulles International Airport,1498.1998364691124,4,Boeing 767-800,169.00262926171467,301.5274086231905,-15890.49443444214
Miami International Airport,Washington Dulles International Airport,1498.1998364691124,4,Airbus A200-100,175.38933432498226,348.38664892056994,-12716.112685600803
Miami International Airport,Washington Dulles International Airport,1498.1998364691124,4,Airbus A220-300,175.38933432498226,265.23061206854027,-11670.146931015772
Miami International Airport,Nashville International Airport,1293.5710105062014,4,Boeing 737-600,155.06333593999048,365.44154324245744,-11584.4969207859
Miami International Airport,Nashville International Airport,1293.5710105062014,4,Boeing 767-800,155.06333593999048,269.97934510043495,-14227.911486792922
Miami International Airport,Nashville International Airport,1293.5710105062014,4,Airbus A200-100,160.2241545352408,314.2926013240481,-11471.679948327757
Miami International Airport,Nashville International Airport,1293.5710105062014,4,Airbus A220-300,160.2241545352408,240.38651204437028,-10577.006529952292
