source airport,destination airport,distance (weighted in km),number of passengers for 2% market share (flight demand),Fuel for Boeing 737-600 (Gallons),Fuel for Boeing 767-800 (Gallons),Fuel for Airbus A200-100 (Gallons),Fuel for Airbus A220-300 (Gallons)
Los Angeles International Airport,Seattle-Tacoma International Airport,1527.7687248323311,55,2244.3068447731857,2805.383555966482,2165.559236184653,1870.2557039776545
Los Angeles International Airport,Phoenix Sky Harbor International Airport,596.8895123370074,66,876.8363930596188,1096.0454913245235,846.0702038294569,730.6969942163489
Los Angeles International Airport,Newark Liberty International Airport,4014.6861469386527,92,5897.612284332729,7372.0153554159115,5690.678519970178,4914.676903610607
Los Angeles International Airport,San Francisco International Airport,542.6759195791482,97,797.1961076364684,996.4951345455854,769.224314386066,664.3300896970569
Los Angeles International Airport,George Bush Intercontinental Airport,2239.4465110526826,97,3289.7683082303943,4112.210385287993,3174.337841274942,2741.4735901919953
Los Angeles International Airport,Logan International Airport,4276.505578208969,68,6282.227528867914,7852.784411084892,6061.798492767286,5235.189607389928
Los Angeles International Airport,Fort Lauderdale-Hollywood International Airport,3831.434668503819,42,5628.414112723844,7035.517640904803,5430.925898242305,4690.345093936535
Los Angeles International Airport,Minneapolis-Saint Paul International Airport,2498.2325112869353,51,3669.927413608696,4587.40926701087,3541.1580306750584,3058.2728446739134
Los Angeles International Airport,LaGuardia Airport,4040.470126991615,92,5935.489197230464,7419.36149653808,5727.226418380274,4946.2409976920535
Los Angeles International Airport,Detroit Metropolitan Airport,3227.1783368445463,60,4740.755791737285,5925.944739671605,4574.413483255275,3950.6298264477373
Los Angeles International Airport,Philadelphia International Airport,3927.3866497117683,85,5769.368489321768,7211.710611652211,5566.934507240304,4807.807074434806
Los Angeles International Airport,Salt Lake City International Airport,953.9027390131129,17,1401.292232009771,1751.6152900122136,1352.1240835182002,1167.743526674809
Los Angeles International Airport,Ronald Reagan Washington National Airport,3776.876823735304,29,5548.268117809927,6935.335147262409,5353.592043500807,4623.556764841605
Los Angeles International Airport,San Diego International Airport,-1,45,-1.4690095485620658,-1.836261935702582,-1.4174653538756774,-1.2241746238017213
Los Angeles International Airport,Baltimore/Washington International Airport,3807.088582571599,29,5592.649480019299,6990.8118500241235,5396.4161649309035,4660.541233349416
