,Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,Denver International Airport,O'Hare International Airport,Los Angeles International Airport,John F. Kennedy International Airport,Harry Reid International Airport,Orlando International Airport,Miami International Airport,Charlotte Douglas International Airport,Seattle-Tacoma International Airport,Phoenix Sky Harbor International Airport,Newark Liberty International Airport,San Francisco International Airport,George Bush Intercontinental Airport,Logan International Airport,Fort Lauderdale-Hollywood International Airport,Minneapolis-Saint Paul International Airport,LaGuardia Airport,Detroit Metropolitan Airport,Philadelphia International Airport,Salt Lake City International Airport,Ronald Reagan Washington National Airport,San Diego International Airport,Baltimore/Washington International Airport,Tampa International Airport,Austin-Bergstrom International Airport,Washington Dulles International Airport,Nashville International Airport,Midway International Airport
Philadelphia International Airport,1072.8268200866942,2095.737136664705,2503.3542957344025,1089.6646367334138,3860.4484423849226,151.13486706030068,3497.6649856717113,1390.6902746327626,1635.6375614177264,722.5322273596437,3821.654359015232,3336.1387946163322,129.03309536284476,4052.42170277148,2131.170752620138,450.5163865761306,1602.252890571535,1575.3509606221314,153.73480977232836,728.5716618641356,0.0,3096.6647620014987,191.95234503114654,3810.8787669129265,144.77319567898607,1484.1338429530274,2301.2096345962095,216.3112217926949,1085.3467141825074,1073.8828831763026
Salt Lake City International Airport,2556.978760286531,1591.495793064895,628.7348660165383,2008.6722718234705,949.8503701330171,3197.623384935201,591.7543193784486,3107.4920290693863,3362.501265342788,2776.8158654206295,1107.5320419381414,818.4417820709721,3163.660901538997,962.7172353762573,1924.2877791909339,3383.571621497579,3353.8308968624515,1594.6608566825214,3186.5888410881716,2381.2493864059375,3096.6647620014987,0.0,2975.83635284442,1009.6538180805433,2997.4071760060197,3038.1661455170033,1749.127351608861,2937.9076431602725,2257.7980735148217,2023.3666876092936
Ronald Reagan Washington National Airport,880.9749155397081,1917.541659190587,2372.0133349692464,983.942964199952,3714.891230331534,343.0814544360566,3356.702154213206,1225.8897724916455,1484.7103351294652,533.3097256305813,3742.162277555755,3180.8580456511445,319.82257966444115,3925.5367735861373,1943.0261437041875,642.2005105716471,1451.7557486159633,1495.8622644133618,345.2865376403826,651.8476278484327,191.95234503114654,2975.83635284442,0.0,3659.5703952871054,48.51891660536816,1312.9045822894334,2116.1871794117055,37.95173772718935,903.2520959594767,965.3107057184878
San Diego International Airport,3041.880886370791,1882.8806119657384,1373.0907269463846,2771.7353690378186,175.67189287233415,3933.2448879149892,417.91188685124973,3456.317832694934,3648.4545717269484,3339.495774870943,1694.0698723881671,490.25417472215827,3899.662566388226,719.6769367190553,2096.1130347350763,4161.050031168965,3649.488616569412,2467.1214333306793,3925.011186180634,3146.6600242339027,3810.8787669129265,1009.6538180805433,3659.5703952871054,0.0,3690.618109257416,3357.016991015181,1873.2888269547482,3623.0116912816193,2816.135549363751,2780.0148031575904
Baltimore/Washington International Airport,928.8436258445294,1957.705233853848,2396.5522837173044,999.3742507942595,3744.1236242383284,295.7909582486633,3384.4478096565726,1271.1982640732815,1527.457114662087,581.8274715791594,3752.188314153123,3213.126840053332,271.8172862847912,3949.1001184063252,1987.5630824819557,594.3487520899758,1494.4001772023225,1504.6459363753072,297.49561280983517,657.3145117261764,144.77319567898607,2997.4071760060197,48.51891660536816,3690.618109257416,0.0,1359.379072136851,2159.227861100101,72.75870469802607,944.766337119533,981.5541782898438
Tampa International Airport,655.586106303448,1495.016386827467,2425.3436612524065,1633.293279670515,3470.6401325074203,1621.4716737346841,3190.927298960769,129.6053607488079,330.01848735215856,819.4651783233043,4055.5641910595014,2876.0276833783614,1608.9901711377245,3848.775331874176,1266.8327172388797,1910.1958079762803,317.0742897058449,2107.0335064118403,1629.7451006156698,1586.5189716157524,1484.1338429530274,3038.1661455170033,1312.9045822894334,3357.016991015181,1359.379072136851,0.0,1491.8831859290856,1308.789535850647,987.519468432551,1608.7050358231204
Austin-Bergstrom International Airport,1307.005692036172,306.1037184460845,1249.9090501305068,1576.0285117526616,1996.9640958032398,2448.024857884722,1753.0890634564764,1598.4434756588448,1775.704751810347,1660.0824622161224,2850.630046713576,1402.5855126091378,2418.949694530405,2419.4069146370052,225.06546014325792,2732.158492398835,1777.5205679522642,1681.1174676157107,2445.889957280252,1850.445102255937,2301.2096345962095,1749.127351608861,2116.1871794117055,1873.2888269547482,2159.227861100101,1491.8831859290856,0.0,2086.4870379259205,1217.0394974079109,1566.7561575044515
Washington Dulles International Airport,860.510947550226,1885.2676367933439,2334.2640425825944,946.2691538676612,3677.8851340078804,366.6792521949174,3319.3981531766494,1224.7019849245542,1488.251482725191,518.7557851673392,3705.106753407117,3144.6546097027253,341.30231354059805,3887.7170683214636,1915.1326664853627,663.7256258768069,1455.4845752867502,1459.148305500308,367.4638196717497,616.2409832240024,216.3112217926949,2937.9076431602725,37.95173772718935,3623.0116912816193,72.75870469802607,1308.789535850647,2086.4870379259205,0.0,872.0534282806374,927.5616235479055
Nashville International Airport,344.79069002757285,1015.9772524116147,1629.6073613823132,660.4659651096714,2889.6255758996335,1231.2535349086615,2551.336495481532,994.4937014375166,1301.175504950525,527.8574152222843,3179.880233235046,2328.7452482433414,1201.9800940344624,3164.5356429663198,1057.0771688963948,1515.6942916870742,1279.3136975845343,1120.2456498851825,1228.9283200883906,735.8978321990484,1085.3467141825074,2257.7980735148217,903.2520959594767,2816.135549363751,944.766337119533,987.519468432551,1217.0394974079109,872.0534282806374,0.0,637.1283053527393
Midway International Airport,953.1243200625021,1285.357556332431,1439.4177529805538,25.154012217421386,2814.741397508922,1175.6025263082274,2444.203382662154,1597.7152042659004,1907.7438137614006,940.9037466470605,2785.2398241582036,2322.087132541607,1141.6010067477303,2981.19347630897,1479.0577182890888,1382.646179216306,1882.7711805705924,560.5412448847252,1165.1107951191057,367.01095339496845,1073.8828831763026,2023.3666876092936,965.3107057184878,2780.0148031575904,981.5541782898438,1608.7050358231204,1566.7561575044515,927.5616235479055,637.1283053527393,0.0
