source airport,destination airport,airplane type,total Cost,break even cost per ticket, profit per flight, percent full
George Bush Intercontinental Airport,Los Angeles International Airport,Boeing 767-800,23190.164280559587,408.99760635907563,13619.62029175722,0.47619047619047616
George Bush Intercontinental Airport,Los Angeles International Airport,Airbus A200-100,18813.46014639688,464.5298801579476,22994.229067818407,0.6666666666666666
George Bush Intercontinental Airport,Los Angeles International Airport,Airbus A220-300,16793.44285370639,349.8633927855498,14694.262496993095,0.5625
George Bush Intercontinental Airport,Paris Charles de Gaulle Airport,Boeing 737-600,62549.14183557123,1752.0768021168415,49583.77349990662,0.5378151260504201
George Bush Intercontinental Airport,Paris Charles de Gaulle Airport,Boeing 767-800,77186.42729446404,1361.312650696015,9937.58235008092,0.3386243386243386
George Bush Intercontinental Airport,Paris Charles de Gaulle Airport,Airbus A200-100,60494.785981691544,1493.6984193010258,35101.912853574104,0.4740740740740741
George Bush Intercontinental Airport,Paris Charles de Gaulle Airport,Airbus A220-300,52790.95152964268,1099.8114902008892,17596.983843214228,0.4
Logan International Airport,Los Angeles International Airport,Boeing 737-600,32799.88119052048,918.7641790061759,23244.733728856256,0.5126050420168067
Logan International Airport,Los Angeles International Airport,Boeing 767-800,39999.851488150605,705.4647528774358,3033.498437372975,0.32275132275132273
Logan International Airport,Los Angeles International Airport,Airbus A200-100,31789.35904348468,784.9224455181403,16090.91013312188,0.45185185185185184
Logan International Airport,Los Angeles International Airport,Airbus A220-300,27999.900992100404,583.3312706687584,7583.306518693862,0.38125
Logan International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,43708.10458259422,1224.3166549746281,10161.828236289417,0.3697478991596639
Logan International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,42314.83775513479,1044.8108087687601,3656.8378306906598,0.32592592592592595
Fort Lauderdale-Hollywood International Airport,Los Angeles International Airport,Boeing 737-600,29902.400271107665,837.6022484904108,1926.4851715279474,0.31932773109243695
Minneapolis-Saint Paul International Airport,Los Angeles International Airport,Boeing 737-600,21087.2409297918,590.6790176412269,6083.993881704639,0.3865546218487395
Minneapolis-Saint Paul International Airport,Los Angeles International Airport,Airbus A200-100,20487.68861646577,505.8688547275499,2782.2787010015236,0.34074074074074073
LaGuardia Airport,O'Hare International Airport,Boeing 737-600,12198.747730145094,341.70161709089905,2836.1234218544632,0.3697478991596639
LaGuardia Airport,O'Hare International Airport,Airbus A200-100,11911.072371192637,294.1005523751268,1029.3519333129443,0.32592592592592595
LaGuardia Airport,Los Angeles International Airport,Boeing 737-600,31266.043345494058,875.7995334872286,43176.91700092037,0.7142857142857143
LaGuardia Airport,Los Angeles International Airport,Boeing 767-800,38082.55418186758,671.6499855708568,19007.69459165525,0.4497354497354497
LaGuardia Airport,Los Angeles International Airport,Airbus A200-100,30309.34007021357,748.3787671657672,33302.855138876635,0.6296296296296297
LaGuardia Airport,Los Angeles International Airport,Airbus A220-300,26721.702787911716,556.7021414148275,20597.979232348618,0.53125
LaGuardia Airport,Paris Charles de Gaulle Airport,Boeing 737-600,45890.25260119708,1285.4412493332516,31236.22235879801,0.5042016806722689
LaGuardia Airport,Paris Charles de Gaulle Airport,Boeing 767-800,56362.81575149635,994.0531878570786,3280.3755199283623,0.31746031746031744
LaGuardia Airport,Paris Charles de Gaulle Airport,Airbus A200-100,44420.41917659367,1096.80047349614,21387.609233174735,0.4444444444444444
LaGuardia Airport,Paris Charles de Gaulle Airport,Airbus A220-300,38908.5438343309,810.5946632152271,9727.13595858273,0.375
Detroit Metropolitan Airport,Los Angeles International Airport,Boeing 737-600,25932.501009938875,726.4005885136941,13293.130769800606,0.453781512605042
Detroit Metropolitan Airport,Los Angeles International Airport,Airbus A200-100,25162.939570993654,621.3071499010779,8387.646523664549,0.4
Detroit Metropolitan Airport,Los Angeles International Airport,Airbus A220-300,22277.08417494906,464.10592031143875,2784.635521868633,0.3375
Detroit Metropolitan Airport,Paris Charles de Gaulle Airport,Boeing 737-600,49787.25980977016,1394.6011151196126,3207.5825647751117,0.31932773109243695
Philadelphia International Airport,O'Hare International Airport,Boeing 737-600,11582.999136685661,324.4537573301306,1719.6049138496928,0.3445378151260504
Philadelphia International Airport,O'Hare International Airport,Airbus A200-100,11316.928991538798,279.43034547009376,139.7151727350465,0.3037037037037037
Philadelphia International Airport,Los Angeles International Airport,Boeing 737-600,30528.958432956526,855.1528972816955,36172.967555015726,0.6554621848739496
Philadelphia International Airport,Los Angeles International Airport,Boeing 767-800,37161.19804119566,655.4003181868724,13960.026777380386,0.4126984126984127
Philadelphia International Airport,Los Angeles International Airport,Airbus A200-100,29598.11778618612,730.8177231157067,27405.664616839,0.5777777777777777
Philadelphia International Airport,Los Angeles International Airport,Airbus A220-300,26107.465360797105,543.9055283499397,16317.16585049819,0.4875
Philadelphia International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,47019.82914896208,1317.0820489905348,26736.765594507866,0.47058823529411764
Philadelphia International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,45510.36145952482,1123.7126286302425,17417.54574376876,0.4148148148148148
