source airport,destination airport,airplane type,flight_hours,total Cost,break even cost per ticket, profit/loss per flight,profit/loss per hour, percent full
Los Angeles International Airport,Minneapolis-Saint Paul International Airport,Airbus A200-100,2.745310451963665,20857.750801827566,515.0061926377176,5407.5650226960315,1969.746269981273,0.37777777777777777
Los Angeles International Airport,Minneapolis-Saint Paul International Airport,Airbus A220-300,2.745310451963665,18558.96660157835,386.6451375328823,1159.9354125986465,422.5152065293629,0.31875
Los Angeles International Airport,LaGuardia Airport,Boeing 737-600,4.169731813200841,32256.010295811695,903.5297001627927,50868.722119165235,12199.518913451777,0.773109243697479
Los Angeles International Airport,LaGuardia Airport,Boeing 767-800,4.169731813200841,39320.012869764614,693.4746537877357,24479.655278707076,5870.798501046901,0.48677248677248675
Los Angeles International Airport,LaGuardia Airport,Airbus A200-100,4.4400770626281485,31264.57133806392,771.96472439664,39756.18330642696,8953.939930694509,0.6814814814814815
Los Angeles International Airport,LaGuardia Airport,Airbus A220-300,4.4400770626281485,27546.675246509745,573.8890676356197,25251.118975967263,5687.090250866219,0.575
Los Angeles International Airport,Detroit Metropolitan Airport,Boeing 737-600,3.3304214002523698,26568.458977865175,744.214537195103,18084.41325384101,5430.067574172633,0.5042016806722689
Los Angeles International Airport,Detroit Metropolitan Airport,Boeing 767-800,3.3304214002523698,32210.573722331475,568.0877199705728,1874.6894759028983,562.8985796694795,0.31746031746031744
Los Angeles International Airport,Detroit Metropolitan Airport,Airbus A200-100,3.5463498207082926,25776.583224255875,636.4588450433549,12410.94747834542,3499.6399412922697,0.4444444444444444
Los Angeles International Airport,Detroit Metropolitan Airport,Airbus A220-300,3.5463498207082926,22807.04914822098,475.14685725460373,5701.762287055244,1607.7833759548466,0.375
Los Angeles International Airport,Philadelphia International Airport,Boeing 737-600,4.053030598257759,31465.18947598679,881.3778564702183,43451.92832398176,10720.848824250195,0.7142857142857143
Los Angeles International Airport,Philadelphia International Airport,Boeing 767-800,4.053030598257759,38331.48684498349,676.0403323630246,19131.9414058736,4720.403890880489,0.4497354497354497
Los Angeles International Airport,Philadelphia International Airport,Airbus A200-100,4.315809505177767,30501.498617180245,753.1234226464258,33513.99230776595,7765.401199371407,0.6296296296296297
Los Angeles International Airport,Philadelphia International Airport,Airbus A220-300,4.315809505177767,26887.657896655663,560.1595395136596,20725.902962005406,4802.321079542577,0.53125
Los Angeles International Airport,San Diego International Airport,Boeing 737-600,-0.0010319917440660474,3993.006751836364,111.84892862286735,1040.1950361926665,-1007948.9900706939,0.37815126050420167
Los Angeles International Airport,San Diego International Airport,Airbus A200-100,-0.001098901098901099,3993.252128964912,98.59881799913363,443.69468099610094,-403762.1597064519,0.3333333333333333
Los Angeles International Airport,Tampa International Airport,Boeing 737-600,3.6375053464969898,28649.400279484697,802.5042095093753,5858.280729418439,1610.521544678996,0.36134453781512604
Los Angeles International Airport,Tampa International Airport,Airbus A200-100,3.8733436052259154,27784.509041608042,686.0372602866183,1715.0931507165478,442.79395930754606,0.31851851851851853
Los Angeles International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,9.787775565431794,70326.4448505705,1969.9284271868487,282290.74361587537,28841.154124218207,1.504201680672269
Los Angeles International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,9.787775565431794,86908.05606321312,1532.7699482048172,187457.76466544913,19152.23366251955,0.9470899470899471
Los Angeles International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,10.422367607586162,67999.20117160311,1678.9926215210644,232540.47808066744,22311.674931846337,1.325925925925926
Los Angeles International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,10.422367607586162,59272.037375475426,1234.8341119890713,161763.26867056833,15520.779419910807,1.11875
John F. Kennedy International Airport,O'Hare International Airport,Boeing 737-600,1.2208380204378646,12272.956923944288,343.7803059928372,2853.3765397405496,2337.2277828611204,0.3697478991596639
John F. Kennedy International Airport,O'Hare International Airport,Airbus A200-100,1.2999912547299897,11982.677733630455,295.8685860155668,1035.5400510544841,796.5746287036119,0.32592592592592595
John F. Kennedy International Airport,Los Angeles International Airport,Boeing 737-600,4.03249259997136,31326.014604068503,877.4794006741879,43259.73445323747,10727.790164709717,0.7142857142857143
