Origin Airport,Destination Airport,Flight Time (Minutes)
Orlando International Airport,O'Hare International Airport,196.26642836005567
Orlando International Airport,Los Angeles International Airport,356.67788994866237
Orlando International Airport,John F. Kennedy International Airport,187.66742814552396
Orlando International Airport,Harry Reid International Airport,333.75850369743694
Orlando International Airport,Miami International Airport,74.27897645025052
Orlando International Airport,Charlotte Douglas International Airport,123.76682817106682
Orlando International Airport,Seattle-Tacoma International Airport,399.89140642061994
Orlando International Airport,Phoenix Sky Harbor International Airport,309.19415117963797
Orlando International Airport,Newark Liberty International Airport,186.77368912198753
Orlando International Airport,San Francisco International Airport,385.95771732294867
Orlando International Airport,George Bush Intercontinental Airport,173.70414823460374
Orlando International Airport,Logan International Airport,211.4556721209812
Orlando International Airport,Fort Lauderdale-Hollywood International Airport,72.27001819698705
Orlando International Airport,Minneapolis-Saint Paul International Airport,233.70011604789127
Orlando International Airport,LaGuardia Airport,188.42456617141664
Orlando International Airport,Detroit Metropolitan Airport,187.72716174603562
Orlando International Airport,Philadelphia International Airport,176.53013470965016
Orlando International Airport,Salt Lake City International Airport,319.98688508292855
Orlando International Airport,Ronald Reagan Washington National Airport,162.78804707399172
Orlando International Airport,San Diego International Airport,347.8886801467627
Orlando International Airport,Baltimore/Washington International Airport,166.56414584060158
Orlando International Airport,Tampa International Airport,48.608970414611946
Orlando International Airport,Austin-Bergstrom International Airport,191.99087698043024
Orlando International Airport,Washington Dulles International Airport,162.68907489865614
Orlando International Airport,Nashville International Airport,142.79450737516603
Orlando International Airport,Paris Charles de Gaulle Airport,684.1588600347486
Miami International Airport,Hartsfield-Jackson Atlanta International Airport,142.0083937736277
Miami International Airport,Dallas/Fort Worth International Airport,210.79099049659763
Miami International Airport,Denver International Airport,293.49458965758663
Miami International Airport,O'Hare International Airport,221.40996461147336
Miami International Airport,Los Angeles International Airport,372.73400644032455
Miami International Airport,John F. Kennedy International Airport,207.31614587382637
Miami International Airport,Harry Reid International Airport,351.26965069829697
Miami International Airport,Orlando International Airport,74.20781271504613
Miami International Airport,Charlotte Douglas International Airport,147.36910722632348
Miami International Airport,Seattle-Tacoma International Airport,421.729507633027
Miami International Airport,Phoenix Sky Harbor International Airport,325.20060859336104
Miami International Airport,Newark Liberty International Airport,206.76115092365444
Miami International Airport,San Francisco International Airport,403.8740707872887
Miami International Airport,George Bush Intercontinental Airport,188.245213906856
Miami International Airport,Logan International Airport,230.02144174193066
Miami International Airport,Fort Lauderdale-Hollywood International Airport,48.608970414611946
Miami International Airport,Minneapolis-Saint Paul International Airport,258.5576699856538
Miami International Airport,LaGuardia Airport,208.21480582393286
Miami International Airport,Detroit Metropolitan Airport,212.33558928016672
Miami International Airport,Philadelphia International Airport,196.99251237709413
Miami International Airport,Salt Lake City International Airport,340.3933590945242
Miami International Airport,Ronald Reagan Washington National Airport,184.37911851688466
Miami International Airport,San Diego International Airport,363.2187910328591
Miami International Airport,Baltimore/Washington International Airport,187.94986988399504
Miami International Airport,Tampa International Airport,82.10313222289672
Miami International Airport,Austin-Bergstrom International Airport,206.3789131702037
Miami International Airport,Washington Dulles International Airport,184.67486845886918
Miami International Airport,Nashville International Airport,167.80985533005787
Miami International Airport,Paris Charles de Gaulle Airport,695.7318406768497
Charlotte Douglas International Airport,Hartsfield-Jackson Atlanta International Airport,86.95007658470718
Charlotte Douglas International Airport,Dallas/Fort Worth International Airport,186.40006988496123
Charlotte Douglas International Airport,Denver International Airport,238.71021102888562
Charlotte Douglas International Airport,O'Hare International Airport,142.7495845375797
Charlotte Douglas International Airport,Los Angeles International Airport,344.66070824495796
Charlotte Douglas International Airport,John F. Kennedy International Airport,133.35770566277722
Charlotte Douglas International Airport,Harry Reid International Airport,317.71423195211696
Charlotte Douglas International Airport,Orlando International Airport,123.34299612004406
Charlotte Douglas International Airport,Miami International Airport,148.18616290456768
Charlotte Douglas International Airport,Seattle-Tacoma International Airport,364.4592543385003
Charlotte Douglas International Airport,Phoenix Sky Harbor International Airport,299.4018054534331
Charlotte Douglas International Airport,Newark Liberty International Airport,131.64550268050868
Charlotte Douglas International Airport,San Francisco International Airport,366.6102110767374
Charlotte Douglas International Airport,George Bush Intercontinental Airport,181.35924188806334
Charlotte Douglas International Airport,Logan International Airport,158.30855618109752
Charlotte Douglas International Airport,Fort Lauderdale-Hollywood International Airport,145.67642220627147
Charlotte Douglas International Airport,Minneapolis-Saint Paul International Airport,183.7531512131201
Charlotte Douglas International Airport,LaGuardia Airport,133.68875594051477
Charlotte Douglas International Airport,Detroit Metropolitan Airport,127.42520667216128
Charlotte Douglas International Airport,Philadelphia International Airport,120.93947533116015
Charlotte Douglas International Airport,Salt Lake City International Airport,293.45366064582566
Charlotte Douglas International Airport,Ronald Reagan Washington National Airport,99.00350993967609
Charlotte Douglas International Airport,San Diego International Airport,338.5543785784531
Charlotte Douglas International Airport,Baltimore/Washington International Airport,109.27498969854338
Charlotte Douglas International Airport,Tampa International Airport,128.48661115520903
Charlotte Douglas International Airport,Austin-Bergstrom International Airport,196.9966608427135
Charlotte Douglas International Airport,Washington Dulles International Airport,97.79834114954154
Charlotte Douglas International Airport,Nashville International Airport,98.34571021284427
Charlotte Douglas International Airport,Paris Charles de Gaulle Airport,637.006747581428
Seattle-Tacoma International Airport,Hartsfield-Jackson Atlanta International Airport,363.19431677730057
Seattle-Tacoma International Airport,Dallas/Fort Worth International Airport,292.22168610630786
Seattle-Tacoma International Airport,Denver International Airport,199.9426920235216
Seattle-Tacoma International Airport,O'Hare International Airport,300.42523567533203
Seattle-Tacoma International Airport,Los Angeles International Airport,188.86407542935248
Seattle-Tacoma International Airport,John F. Kennedy International Airport,393.71245153518413
Seattle-Tacoma International Airport,Harry Reid International Airport,177.00831486558604
Seattle-Tacoma International Airport,Orlando International Airport,412.3946372062382
Seattle-Tacoma International Airport,Miami International Airport,435.9652350426895
Seattle-Tacoma International Airport,Charlotte Douglas International Airport,374.39872677905186
Seattle-Tacoma International Airport,Phoenix Sky Harbor International Airport,209.38503651457557
