source airport,destination airport,Fuel for Boeing 737-600 (Gallons),Fuel for Boeing 767-800 (Gallons),Fuel for Airbus A200-100 (Gallons),Fuel for Airbus A220-300 (Gallons),Fuel for Boeing 747-400 (Gallons)
Dallas/Fort Worth International Airport,Orlando International Airport,1803.4953056203633,2204.272040202666,1653.2040301519999,1502.912754683636,4508.738264050908
Dallas/Fort Worth International Airport,Miami International Airport,2056.715851845236,2513.7638189219556,1885.3228641914668,1713.9298765376968,5141.78962961309
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,1712.2026587413532,2092.692138461654,1569.5191038462406,1426.8355489511275,4280.506646853382
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,2981.957895082378,3644.6152051006843,2733.461403825513,2484.964912568648,7454.894737705944
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,1566.155996401245,1914.1906622681884,1435.6429967011413,1305.1299970010373,3915.389991003112
Dallas/Fort Worth International Airport,Newark Liberty International Airport,2519.2400037414604,3079.071115684007,2309.3033367630055,2099.36666978455,6298.10000935365
Dallas/Fort Worth International Airport,San Francisco International Airport,2632.5723215058706,3217.58839295162,2413.191294713715,2193.8102679215585,6581.430803764676
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,408.69866840136746,499.5205947127825,374.6404460345869,340.5822236678062,1021.7466710034186
Dallas/Fort Worth International Airport,Logan International Airport,2871.132757008955,3509.1622585665014,2631.871693924876,2392.610630840796,7177.831892522388
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,2052.135207814468,2508.165253995461,1881.1239404965959,1710.112673178723,5130.33801953617
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,1563.4700792029298,1910.9078745813586,1433.1809059360191,1302.891732669108,3908.675198007324
Dallas/Fort Worth International Airport,LaGuardia Airport,2550.2679111304615,3116.994113603898,2337.7455852029234,2125.2232592753844,6375.669777826154
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,1808.384157118836,2210.2473031452437,1657.685477358933,1506.9867975990296,4520.960392797089
Dallas/Fort Worth International Airport,Philadelphia International Airport,2390.490586140867,2921.7107163943933,2191.283037295795,1992.0754884507223,5976.226465352168
Dallas/Fort Worth International Airport,Salt Lake City International Airport,1785.5463764262856,2182.3344600765718,1636.7508450574287,1487.9553136885713,4463.865941065715
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,2185.4986446484995,2671.165010125944,2003.373757594458,1821.2488705404162,5463.746611621249
Dallas/Fort Worth International Airport,San Diego International Airport,2109.6750156055555,2578.4916857401236,1933.8687643050926,1758.0625130046294,5274.187539013888
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,2231.673751000938,2727.6012512233688,2045.7009384175265,1859.7281258341147,5579.184377502344
Dallas/Fort Worth International Airport,Tampa International Airport,1700.7236432118382,2078.662230592247,1558.9966729441853,1417.2697026765318,4251.809108029595
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,345.42387756256903,422.18473924314,316.63855443235497,287.85323130214084,863.5596939064226
Dallas/Fort Worth International Airport,Washington Dulles International Airport,2148.405834743782,2625.8293535757343,1969.3720151818006,1790.3381956198184,5371.014586859455
Dallas/Fort Worth International Airport,Nashville International Airport,1153.3007508912845,1409.5898066449033,1057.1923549836777,961.0839590760703,2883.251877228211
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,-1,-1,-1,-1,23269.619869251506
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,2198.466188826658,2687.0142307881374,2015.260673091103,1832.0551573555479,5496.165472066644
Denver International Airport,Dallas/Fort Worth International Airport,1172.6106009895805,1433.1907345428206,1074.8930509071156,977.1755008246503,2931.526502473951
Denver International Airport,O'Hare International Airport,1623.7018951267496,1984.5245384882498,1488.3934038661873,1353.0849126056246,4059.2547378168742
Denver International Airport,Los Angeles International Airport,1556.6299251353366,1902.5476862765227,1426.910764707392,1297.1916042794471,3891.5748128383416
Denver International Airport,John F. Kennedy International Airport,2987.348520494564,3651.203747271134,2738.402810453351,2489.4571004121367,7468.3713012364105
Denver International Airport,Harry Reid International Airport,1135.6006868450222,1387.956395032805,1040.9672962746038,946.333905704185,2839.001717112555
Denver International Airport,Orlando International Airport,2844.4239099668066,3476.5181121816527,2607.38858413624,2370.353258305672,7111.0597749170165
Denver International Airport,Miami International Airport,3148.7296239685425,3848.4473181837748,2886.335488637831,2623.941353307119,7871.824059921356
Denver International Airport,Charlotte Douglas International Airport,2453.35823706821,2998.548956416702,2248.9117173125264,2044.4651975568418,6133.395592670526
Denver International Airport,Seattle-Tacoma International Airport,1847.3529864221,2257.8758722936777,1693.4069042202584,1539.4608220184166,4618.38246605525
Denver International Airport,Phoenix Sky Harbor International Airport,1089.9470682789915,1332.1575278965454,999.118145922409,908.2892235658262,2724.867670697479
Denver International Airport,Newark Liberty International Airport,2948.051595661022,3603.1741724745825,2702.380629355937,2456.7096630508513,7370.128989152554
Denver International Airport,San Francisco International Airport,1744.4133816339415,2132.0607997748175,1599.0455998311131,1453.6778180282845,4361.0334540848535
Denver International Airport,George Bush Intercontinental Airport,1578.1801375471875,1928.886834779896,1446.6651260849221,1315.1501146226562,3945.450343867969
Denver International Airport,Logan International Airport,3225.78937402207,3942.6314571380863,2956.9735928535647,2688.1578116850583,8064.473435055175
Denver International Airport,Fort Lauderdale-Hollywood International Airport,3136.7888052300905,3833.8529841701106,2875.3897381275833,2613.9906710250752,7841.972013075226
Denver International Airport,Minneapolis-Saint Paul International Airport,1243.3782564712424,1519.684535687074,1139.7634017653056,1036.1485470593684,3108.4456411781057
Denver International Airport,LaGuardia Airport,2975.845577433073,3637.144594640423,2727.8584459803174,2479.8713145275606,7439.613943582683
Denver International Airport,Detroit Metropolitan Airport,2056.0258648966205,2512.920501540314,1884.6903761552355,1713.35488741385,5140.064662241551
Denver International Airport,Philadelphia International Airport,2860.6158766441285,3496.308293676157,2622.231220257118,2383.846563870107,7151.539691610321
Denver International Airport,Salt Lake City International Airport,708.4686205690646,865.9060918066344,649.4295688549759,590.390517140887,1771.1715514226612
Denver International Airport,Ronald Reagan Washington National Airport,2708.949595355456,3310.9383943233356,2483.203795742502,2257.4579961295467,6772.37398838864
Denver International Airport,San Diego International Airport,1542.03334369396,1884.7074200703958,1413.5305650527969,1285.0277864116333,3855.0833592349
Denver International Airport,Baltimore/Washington International Airport,2737.272701954121,3345.555524610593,2509.1666434579447,2281.0605849617673,6843.181754885302
Denver International Airport,Tampa International Airport,2770.511797676382,3386.181086048911,2539.6358145366835,2308.7598313969843,6926.279494190954
Denver International Airport,Austin-Bergstrom International Airport,1420.3357429105688,1735.9659080018064,1301.9744310013548,1183.6131190921406,3550.8393572764217
Denver International Airport,Washington Dulles International Airport,2665.39090956919,3257.7000005845657,2443.2750004384243,2221.1590913076584,6663.477273922975
Denver International Airport,Nashville International Airport,1854.9469235492877,2267.157351004685,1700.368013253514,1545.7891029577395,4637.367308873219
Denver International Airport,Paris Charles de Gaulle Airport,-1,-1,-1,-1,22932.05190882539
O'Hare International Airport,Hartsfield-Jackson Atlanta International Airport,1109.6937136973118,1356.292316741159,1017.2192375558693,924.7447614144264,2774.2342842432795
O'Hare International Airport,Dallas/Fort Worth International Airport,1452.2148336416706,1774.9292411175975,1331.196930838198,1210.1790280347254,3630.5370841041763
