Origin Airport,Destination Airport,Aircraft,Flight Time (Minutes)
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Airbus A220-300,268.5200548158473
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Boeing 737-600,163.35752793652182
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Boeing 767-800,163.35752793652182
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Airbus A200-100,169.07188713225764
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Airbus A220-300,169.07188713225764
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Boeing 737-600,220.81200288854657
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Boeing 767-800,220.81200288854657
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Airbus A200-100,231.57917658105137
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Airbus A220-300,231.57917658105137
Dallas/Fort Worth International Airport,San Francisco International Airport,Boeing 737-600,227.64398072271658
Dallas/Fort Worth International Airport,San Francisco International Airport,Boeing 767-800,227.64398072271658
Dallas/Fort Worth International Airport,San Francisco International Airport,Airbus A200-100,239.01199041051893
Dallas/Fort Worth International Airport,San Francisco International Airport,Airbus A220-300,239.01199041051893
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Boeing 737-600,86.74297600854528
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Boeing 767-800,86.74297600854528
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Airbus A200-100,86.56705155027693
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Airbus A220-300,86.56705155027693
Dallas/Fort Worth International Airport,Logan International Airport,Boeing 737-600,248.86494920280234
Dallas/Fort Worth International Airport,Logan International Airport,Boeing 767-800,248.86494920280234
Dallas/Fort Worth International Airport,Logan International Airport,Airbus A200-100,261.2516724587765
Dallas/Fort Worth International Airport,Logan International Airport,Airbus A220-300,261.2516724587765
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 737-600,192.65366575260708
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 767-800,192.65366575260708
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A200-100,200.94446394600257
