source airport,destination airport,airplane type,total Cost,break even cost per ticket, profit/loss per flight, percent full
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Airbus A220-300,9034.187969431261,188.21224936315127,-7340.2777251628995,0.05625
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Boeing 737-600,6407.472741672531,179.4810291785023,-4792.1434790660105,0.07563025210084033
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Boeing 767-800,7009.340927090663,123.62153310565544,-5896.747129139764,0.047619047619047616
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Airbus A200-100,6323.000013894547,156.12345713319868,-4917.888899695759,0.06666666666666667
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Airbus A220-300,6006.227284727109,125.12973509848143,-4880.059668840776,0.05625
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,54962.2601833037,1539.559108776014,29713.49079937707,0.46218487394957986
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,67702.82522912964,1194.0533550111047,-2029.890703518875,0.291005291005291
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,53174.11070318779,1312.9410050169824,19037.64457274624,0.4074074074074074
Hartsfield-Jackson Atlanta International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,46468.55015275309,968.0947948490226,6776.663563943155,0.34375
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,12270.04994069626,343.6988778906516,-1271.6858481954096,0.2689075630252101
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 767-800,14337.562425870326,252.86706218466188,-6245.816435961146,0.1693121693121693
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,11979.872749794638,295.79932715542316,-2514.2942808210973,0.23703703703703705
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A220-300,10891.708283913551,226.910589248199,-3630.5694279711834,0.2
Dallas/Fort Worth International Airport,Denver International Airport,Boeing 737-600,11189.881577409726,313.4420609918691,-6174.80860153982,0.13445378151260504
Dallas/Fort Worth International Airport,Denver International Airport,Boeing 767-800,12987.351971762158,229.05382666247195,-9322.490745162608,0.08465608465608465
Dallas/Fort Worth International Airport,Denver International Airport,Airbus A200-100,10937.605030833947,270.06432174898634,-6616.575882850166,0.11851851851851852
Dallas/Fort Worth International Airport,Denver International Airport,Airbus A220-300,9991.567981174772,208.15766627447442,-6661.0453207831815,0.1
Dallas/Fort Worth International Airport,O'Hare International Airport,Boeing 737-600,13092.255401240422,366.72984317200064,5610.96660053161,0.42857142857142855
Dallas/Fort Worth International Airport,O'Hare International Airport,Boeing 767-800,15365.319251550529,270.9932848597977,-1544.661723700845,0.2698412698412698
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A200-100,12773.228895933742,315.3883678008331,3311.577861908747,0.37777777777777777
Dallas/Fort Worth International Airport,O'Hare International Airport,Airbus A220-300,11576.879501033687,241.1849896048685,723.5549688146057,0.31875
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 737-600,17757.62869748674,497.4125685570516,30491.390452547268,0.8151260504201681
Dallas/Fort Worth International Airport,Los Angeles International Airport,Boeing 767-800,21197.035871858425,373.84542983877293,15065.970822502546,0.5132275132275133
