aircraft tail number,flight number,source airport,destination airport,departure time,arrival time,number of passengers
N00003,1858,Phoenix Sky Harbor International Airport,Newark Liberty International Airport,7464,7789,88
N00003,1934,Newark Liberty International Airport,Nashville International Airport,7815,7978,30
N00003,1966,Nashville International Airport,Newark Liberty International Airport,8014,8178,27
N00003,2001,Newark Liberty International Airport,Fort Lauderdale-Hollywood International Airport,8204,8402,56
N00003,2039,Fort Lauderdale-Hollywood International Airport,John F. Kennedy International Airport,8428,8628,56
N00003,2072,John F. Kennedy International Airport,Tampa International Airport,8664,8855,60
N00003,2108,Tampa International Airport,Nashville International Airport,8881,9029,8
N00003,2135,Nashville International Airport,Ronald Reagan Washington National Airport,9055,9198,6
N00003,2159,Ronald Reagan Washington National Airport,Nashville International Airport,9224,9367,6
N00003,2184,Nashville International Airport,Baltimore/Washington International Airport,9393,9539,6
N00003,2206,Baltimore/Washington International Airport,Nashville International Airport,9575,9721,6
N00003,2229,Nashville International Airport,Austin-Bergstrom International Airport,9747,9911,9
N00003,2248,Austin-Bergstrom International Airport,Tampa International Airport,9937,10121,10
N00003,2273,Tampa International Airport,Ronald Reagan Washington National Airport,10147,10318,15
N00003,2294,Ronald Reagan Washington National Airport,Orlando International Airport,10354,10518,8
N00003,2311,Orlando International Airport,Detroit Metropolitan Airport,10544,10730,24
N00003,2332,Detroit Metropolitan Airport,Miami International Airport,10756,10964,36
N00003,2353,Miami International Airport,LaGuardia Airport,11000,11203,42
N00003,2373,LaGuardia Airport,Seattle-Tacoma International Airport,11229,11577,90
N00003,2407,Seattle-Tacoma International Airport,Hartsfield-Jackson Atlanta International Airport,11613,11946,51
N00004,4,Hartsfield-Jackson Atlanta International Airport,Los Angeles International Airport,35,365,119
N00004,116,Los Angeles International Airport,Newark Liberty International Airport,401,763,119
N00004,192,Newark Liberty International Airport,Dallas/Fort Worth International Airport,799,1031,119
N00004,257,Dallas/Fort Worth International Airport,Tampa International Airport,1057,1243,85
N00004,303,Tampa International Airport,Los Angeles International Airport,1279,1600,119
N00004,396,Los Angeles International Airport,Hartsfield-Jackson Atlanta International Airport,1636,1942,119
N00004,474,Hartsfield-Jackson Atlanta International Airport,Dallas/Fort Worth International Airport,1968,2133,119
N00004,520,Dallas/Fort Worth International Airport,San Francisco International Airport,2169,2411,119
N00004,594,San Francisco International Airport,O'Hare International Airport,2437,2732,22
N00004,672,O'Hare International Airport,San Diego International Airport,2768,3045,88
N00004,752,San Diego International Airport,Phoenix Sky Harbor International Airport,3071,3179,33
N00004,785,Phoenix Sky Harbor International Airport,Dallas/Fort Worth International Airport,3205,3384,100
N00004,839,Dallas/Fort Worth International Airport,John F. Kennedy International Airport,3420,3657,100
N00004,912,John F. Kennedy International Airport,Los Angeles International Airport,3693,4047,1
N00004,1012,Los Angeles International Airport,Tampa International Airport,4083,4411,119
N00004,1102,Tampa International Airport,O'Hare International Airport,4437,4631,80
N00004,1163,O'Hare International Airport,Hartsfield-Jackson Atlanta International Airport,4667,4820,82
N00004,1212,Hartsfield-Jackson Atlanta International Airport,Miami International Airport,4846,4995,26
N00004,1259,Miami International Airport,Charlotte Douglas International Airport,5021,5174,20
N00004,1308,Charlotte Douglas International Airport,LaGuardia Airport,5200,5341,36
N00004,1357,LaGuardia Airport,Orlando International Airport,5367,5552,60
N00004,1412,Orlando International Airport,George Bush Intercontinental Airport,5588,5762,52
N00004,1461,George Bush Intercontinental Airport,Philadelphia International Airport,5788,6016,42
N00004,1532,Philadelphia International Airport,Hartsfield-Jackson Atlanta International Airport,6042,6198,26
N00004,1585,Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,6224,6406,30
N00004,1637,Minneapolis-Saint Paul International Airport,John F. Kennedy International Airport,6442,6637,51
N00004,1690,John F. Kennedy International Airport,Ronald Reagan Washington National Airport,6663,6761,20
N00004,1727,Ronald Reagan Washington National Airport,Los Angeles International Airport,6787,7124,119
N00004,1794,Los Angeles International Airport,Orlando International Airport,7160,7495,111
N00004,1878,Orlando International Airport,Nashville International Airport,7521,7681,8
N00004,1913,Nashville International Airport,Philadelphia International Airport,7707,7863,18
N00004,1954,Philadelphia International Airport,Phoenix Sky Harbor International Airport,7899,8211,84
N00004,2008,Phoenix Sky Harbor International Airport,LaGuardia Airport,8247,8574,110
N00004,2068,LaGuardia Airport,Miami International Airport,8600,8801,56
N00004,2104,Miami International Airport,John F. Kennedy International Airport,8837,9039,56
N00004,2138,John F. Kennedy International Airport,Orlando International Airport,9065,9250,48
N00004,2167,Orlando International Airport,Ronald Reagan Washington National Airport,9276,9441,12
N00004,2194,Ronald Reagan Washington National Airport,Tampa International Airport,9467,9637,12
N00004,2217,Tampa International Airport,Logan International Airport,9673,9886,33
N00004,2244,Logan International Airport,Nashville International Airport,9912,10096,21
N00004,2268,Nashville International Airport,Minneapolis-Saint Paul International Airport,10122,10279,10
N00004,2286,Minneapolis-Saint Paul International Airport,Phoenix Sky Harbor International Airport,10315,10535,36
N00004,2315,Phoenix Sky Harbor International Airport,Philadelphia International Airport,10561,10880,80
N00004,2348,Philadelphia International Airport,Seattle-Tacoma International Airport,10916,11260,68
N00004,2380,Seattle-Tacoma International Airport,John F. Kennedy International Airport,11296,11654,90
N00004,2413,John F. Kennedy International Airport,Miami International Airport,11680,11880,42
N00004,2429,Miami International Airport,Nashville International Airport,11916,12086,8
N00004,2444,Nashville International Airport,Miami International Airport,12112,12283,8
N00004,2454,Miami International Airport,Detroit Metropolitan Airport,12309,12515,27
N00004,2468,Detroit Metropolitan Airport,Phoenix Sky Harbor International Airport,12551,12820,42
N00004,2485,Phoenix Sky Harbor International Airport,Detroit Metropolitan Airport,12846,13120,42
N00004,2499,Detroit Metropolitan Airport,Seattle-Tacoma International Airport,13156,13452,48
N00004,2518,Seattle-Tacoma International Airport,Austin-Bergstrom International Airport,13478,13763,28
N00004,2533,Austin-Bergstrom International Airport,Newark Liberty International Airport,13799,14054,44
N00004,2544,Newark Liberty International Airport,Salt Lake City International Airport,14080,14381,30
N00004,2561,Salt Lake City International Airport,Detroit Metropolitan Airport,14417,null,16
N00005,5,Dallas/Fort Worth International Airport,Los Angeles International Airport,35,252,119
N00005,85,Los Angeles International Airport,O'Hare International Airport,278,562,119
N00005,159,O'Hare International Airport,Phoenix Sky Harbor International Airport,598,838,46
N00005,211,Phoenix Sky Harbor International Airport,O'Hare International Airport,864,1107,119
N00005,275,O'Hare International Airport,Salt Lake City International Airport,1143,1362,40
N00005,330,Salt Lake City International Airport,Los Angeles International Airport,1388,1534,75
N00005,377,Los Angeles International Airport,LaGuardia Airport,1570,1934,119
N00005,470,LaGuardia Airport,O'Hare International Airport,1960,2124,119
N00005,515,O'Hare International Airport,Denver International Airport,2160,2342,80
N00005,571,Denver International Airport,Logan International Airport,2368,2653,40
N00005,652,Logan International Airport,Philadelphia International Airport,2679,2784,84
N00005,689,Philadelphia International Airport,Detroit Metropolitan Airport,2810,2941,76
N00005,723,Detroit Metropolitan Airport,Newark Liberty International Airport,2977,3112,60
N00005,771,Newark Liberty International Airport,Los Angeles International Airport,3138,3490,119
N00005,866,Los Angeles International Airport,Logan International Airport,3526,3906,17
N00005,975,Logan International Airport,Dallas/Fort Worth International Airport,3942,4202,11
N00005,1052,Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,4228,4498,84
N00005,1128,Seattle-Tacoma International Airport,Denver International Airport,4534,4730,16
N00005,1188,Denver International Airport,Minneapolis-Saint Paul International Airport,4756,4914,14
N00005,1242,Minneapolis-Saint Paul International Airport,Dallas/Fort Worth International Airport,4940,5117,57
N00005,1292,Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,5143,5234,26
N00005,1324,Austin-Bergstrom International Airport,Dallas/Fort Worth International Airport,5260,5351,24
N00005,1361,Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,5387,5565,38
N00005,1416,Minneapolis-Saint Paul International Airport,Hartsfield-Jackson Atlanta International Airport,5591,5775,60
N00005,1468,Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,5801,5902,11
